player_id,name,position,team,bye_week,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles_lost,adp,adp_sd,adp_min,adp_max,adp_is_estimated,proj_games,miss_rate,weekly_cv,proj_spread
dj-giddens-rb,DJ Giddens,RB,IND,0,0.0,0.0,0.0,119.05,0.8400000000000001,3.55,23.8,0.085,0.0,192.125,21.106017784805953,169.96368132595376,237.50293823733278,False,17.0,0.0,1.15,0.19001155249429275
seth-mcgowan-rb,Seth McGowan,RB,IND,0,0.0,0.0,0.0,168.0,1.7,10.2,77.0,0.0,0.0,209.595,22.913024164012246,167.0,258.8580019526263,False,17.0,0.0,0.62,0.22003674011800722
bhayshul-tuten-rb,Bhayshul Tuten,RB,JAX,0,0.0,0.0,0.0,924.8,7.0,25.5,198.9,2.0,3.0,54.0,5.5,38.0,65.0,False,17.0,0.0,0.8340211735151623,0.08694935374849758
chris-rodriguez-rb,Chris Rodriguez Jr,RB,JAX,0,0.0,0.0,0.0,623.9,5.61,6.8,54.4,0.0,1.0,135.0,19.9,100.5,197.0,False,17.0,0.0392156862745098,1.15,0.1570408688679548
kenneth-walker-rb,Kenneth Walker III,RB,KC,0,0.0,0.0,0.0,1160.0,8.9,45.8,352.8,1.2,0.95,17.0,3.7,10.5,30.0,False,17.0,0.0784313725490196,0.572483167031719,0.07694484313431958
emari-demercado-rb,Emari Demercado,RB,KC,0,0.0,0.0,0.0,235.0,1.0,17.0,131.0,0.34,3.0,210.195,34.158775000000006,174.32828625,283.63636625000004,False,17.0,0.0784313725490196,0.9957340025094104,0.55
emmett-johnson-rb,Emmett Johnson,RB,KC,0,0.0,0.0,0.0,186.0,1.0,11.0,77.0,0.0,0.0,195.0,30.7,103.0,174.5,False,17.0,0.0,0.62,0.5279048245674426
brashard-smith-rb,Brashard Smith,RB,KC,0,0.0,0.0,0.0,171.9,1.095,20.7,146.25,0.925,0.0,235.0,17.935,216.16825,273.56025,False,17.0,0.0,1.0558902275769746,0.04
omarion-hampton-rb,Omarion Hampton,RB,LAC,0,0.0,0.0,0.0,1051.0,9.09,47.25,337.25,2.0,1.0,17.77,3.8,14.0,33.0,False,17.0,0.13725490196078433,0.5140601503759398,0.059978706156609454
keaton-mitchell-rb,Keaton Mitchell,RB,LAC,0,0.0,0.0,0.0,421.6,2.0,19.0,147.0,1.0,1.0,158.3,19.9,113.5,195.0,False,17.0,0.37254901960784315,0.750191570881226,0.26708691331330264
kimani-vidal-rb,Kimani Vidal,RB,LAC,0,0.0,0.0,0.0,272.0,2.0,16.0,132.6,0.68,0.0,211.825,21.83201196252783,118.0,469.0,False,17.0,0.0784313725490196,0.9614781244552902,0.1852907930155244
kyren-williams-rb,Kyren Williams,RB,LAR,0,0.0,0.0,0.0,1097.1,10.0,34.0,245.0,2.4050000000000002,2.0,29.0,3.2,19.0,41.0,False,17.0,0.0784313725490196,0.3541144004014049,0.04
blake-corum-rb,Blake Corum,RB,LAR,0,0.0,0.0,0.0,793.9,6.0,11.9,81.6,0.0,1.0,97.0,14.1,78.5,150.0,False,17.0,0.0,0.8928653360862583,0.055856238920758826
jarquez-hunter-rb,Jarquez Hunter,RB,LAR,0,0.0,0.0,0.0,122.4,1.02,5.1,42.5,0.17,0.0,169.99,21.129550000000002,147.80397250000001,215.41853250000003,False,17.0,0.0,0.62,0.22
ashton-jeanty-rb,Ashton Jeanty,RB,LV,0,0.0,0.0,0.0,1032.85,7.390000000000001,51.4,366.5,1.97,1.0,14.0,3.3,6.0,54.0,False,15.0,0.0,0.65171875,0.05069945441501381
mike-washington-rb,Mike Washington Jr,RB,LV,0,0.0,0.0,0.0,481.2,3.39,14.2,108.5,0.43,2.0,151.5,20.3,89.0,181.0,False,17.0,0.0,0.62,0.3853729752477438
devon-achane-rb,De'Von Achane,RB,MIA,0,0.0,0.0,0.0,1146.0,6.23,58.9,437.35,2.95,1.0,14.0,1.7,7.0,18.5,False,17.0,0.0784313725490196,0.5077285989198584,0.1023650875504581
jaylen-wright-rb,Jaylen Wright,RB,MIA,0,0.0,0.0,0.0,304.3,2.0,7.0,49.0,0.0,2.0,236.0,20.272377966463388,95.0,519.0,False,17.0,0.058823529411764705,1.15,0.10742288136657029
